City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Passo De Camaragibe,BR,89.15,scattered clouds,-9.2368,-35.4901,Chácara vovó candinha
371,Soyo,AO,86.05,overcast clouds,-6.1349,12.3689,Hotel Mpampa
374,Hargeysa,SO,75.09,clear sky,9.56,44.065,City Center Hotel
375,Maceio,BR,89.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
376,Bama,NG,86.11,few clouds,11.5221,13.6856,UN Humanitarian Hub
377,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
381,Koumac,NC,80.13,overcast clouds,-20.5667,164.2833,Le Monitel
383,Nha Trang,VN,75.2,scattered clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
384,Santarem,BR,78.93,broken clouds,-2.4431,-54.7083,Ecotur Lodge
387,Bonthe,SL,89.38,clear sky,7.5264,-12.505,Bonthe Holiday Village
390,Port Moresby,PG,78.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
391,Lumphat,KH,76.46,clear sky,13.4878,106.9816,Lumphat Homestay
400,Placido De Castro,BR,79.47,overcast clouds,-10.3353,-67.1856,Hotel Carioca
403,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
404,Nakhon Nayok,TH,89.02,light rain,14.1667,101.1,ห้างหุ้นส่วนจำกัด เอสพีรีสอร์ท
406,Abong Mbang,CM,95.65,broken clouds,3.9833,13.1833,Auberge Angle Sur
408,Pitimbu,BR,86.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
411,Chuy,UY,78.89,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
415,Sao Filipe,CV,75.52,clear sky,14.8961,-24.4956,Hotel Xaguate
416,Puerto Morazan,NI,77.58,few clouds,12.8504,-87.1717,Iglesia de Dios de la profecia
418,Rocha,UY,79.16,broken clouds,-34.4833,-54.3333,Hotel Arrarte
420,Belmonte,BR,84.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
422,Isangel,VU,79.25,light rain,-19.55,169.2667,Tanna Lodge
428,Guantanamo,CU,75.27,broken clouds,20.1444,-75.2092,Hotel Guantánamo
430,Monte Patria,CL,75.16,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
444,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
446,Mapastepec,MX,77.34,clear sky,15.4333,-92.9,Hotel San Carlos
456,Pindiga,NG,81.7,clear sky,9.9833,10.9333,Accommodation Center
457,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
462,Bloemfontein,ZA,81.88,scattered clouds,-29.1211,26.214,aha Bloemfontein Hotel
465,Kampot,KH,78.85,broken clouds,10.6167,104.1833,Two Moons Hotel
467,Nizwa,OM,77.47,few clouds,22.9333,57.5333,Orient Apartments
471,Ekangala,ZA,80.01,few clouds,-25.6962,28.7492,Mbal'enhle Guest House
472,Braganca,BR,82.0,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
473,Banda Aceh,ID,80.67,moderate rain,5.5577,95.3222,Sulthan Hotel International
478,Ambilobe,MG,78.84,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
480,Muli,MV,82.26,broken clouds,2.9167,73.5667,Medhufushi Island Resort
484,Kollam,IN,84.07,clear sky,8.8833,76.6,Nani Hotels and Resorts
493,Cap Malheureux,MU,81.09,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
494,Kavaratti,IN,79.07,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
498,Galesong,ID,80.62,overcast clouds,-5.3166,119.3661,Sapriadi Appy
501,Pringsewu,ID,75.18,overcast clouds,-5.3582,104.9744,Urban Style by Front One
502,Cayenne,GF,82.44,light rain,4.9333,-52.3333,Hôtel Le Dronmi
503,Shakawe,BW,83.26,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
505,Jan Kempdorp,ZA,87.96,few clouds,-27.9225,24.8305,Bostons Lodge
506,Kigoma,TZ,75.24,light rain,-4.8769,29.6267,MJI Mwema Lodge
509,Oussouye,SN,95.18,clear sky,12.485,-16.5469,Auberge du Routard
511,Juazeiro,BR,78.98,broken clouds,-9.4117,-40.4986,JB Hotel
518,Tucuman,AR,78.8,scattered clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
520,Djibo,BF,87.17,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
523,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
525,Areka,ET,83.35,overcast clouds,7.0667,37.7,Selam Hotel ሰላም ሆቴል
529,Bridgetown,BB,79.29,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
530,Daru,PG,79.11,overcast clouds,-9.0763,143.2092,Daru Lodge
532,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
535,Tarauaca,BR,81.05,overcast clouds,-8.1614,-70.7656,Flat Temporada
537,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
541,Aloleng,PH,79.14,few clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
543,Harper,LR,84.61,overcast clouds,4.375,-7.7169,Screensaver
547,Angono,PH,80.44,scattered clouds,14.5333,121.1667,Villa Jhoana Resort
551,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
553,Kulhudhuffushi,MV,81.21,clear sky,6.6221,73.07,Haajy Guest House 1
555,Pangkalanbuun,ID,75.33,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
560,Kuching,MY,79.02,heavy intensity rain,1.55,110.3333,The Ranee Boutique Suites
561,Kirakira,SB,79.43,light rain,-10.4544,161.9205,SanBiz Lodge
567,Manggar,ID,80.08,broken clouds,-2.8833,108.2667,Guest Hotel
575,Faanui,PF,80.06,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
578,Bang Saphan,TH,77.38,clear sky,11.2126,99.5117,Ladawan Boutique Hotel
582,Sao Felix Do Xingu,BR,85.23,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
585,Tuburan,PH,78.75,overcast clouds,6.6439,122.2736,GT Site
586,Waingapu,ID,79.39,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
590,Cockburn Town,TC,75.78,clear sky,21.4612,-71.1419,Osprey Beach Hotel
592,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
593,Bandiagara,ML,87.22,few clouds,14.3501,-3.6104,Hotel de la Falaise
598,Nacala,MZ,85.32,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
599,Kerman,IR,75.06,clear sky,30.2832,57.0788,هتل آپارتمان آسام
603,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
605,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
613,Carutapera,BR,80.69,overcast clouds,-1.195,-46.02,Lidera
614,Eyl,SO,80.02,clear sky,7.9803,49.8164,Amiin Hotel
615,Tartagal,AR,75.34,overcast clouds,-22.5164,-63.8013,Almuñecar Hotel
