City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Labuhan,ID,-6.8844,112.2051,78.1,88,100,5.86,light rain
230,Takoradi,GH,4.8845,-1.7554,84.83,61,23,11.43,few clouds
231,Thunder Bay,CA,48.4001,-89.3168,2.28,80,100,5.75,overcast clouds
232,Ugoofaaru,MV,5.6667,73.0,81.75,70,98,11.56,overcast clouds
233,Adre,TD,13.4667,22.2,81.99,12,0,15.41,clear sky
234,Dunedin,NZ,-45.8742,170.5036,53.8,82,100,5.99,overcast clouds
235,Boralday,KZ,43.3578,76.8594,26.46,100,100,4.47,mist
236,Bahir Dar,ET,11.5936,37.3908,77.95,36,51,16.4,broken clouds
237,Svetlaya,RU,46.5389,138.3297,8.42,73,79,9.37,broken clouds
238,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,27.63,light snow
239,Ribeira Grande,PT,38.5167,-28.7,61.2,77,40,17.27,scattered clouds
240,Marystown,CA,47.1666,-55.1483,40.86,100,100,6.2,overcast clouds
241,Yumbe,UG,3.4651,31.2469,87.93,23,100,8.03,overcast clouds
242,Codrington,AU,-38.2667,141.9667,56.71,89,95,10.18,overcast clouds
243,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,94,75,11.74,broken clouds
244,Ca Mau,VN,9.1769,105.15,78.13,75,100,11.34,overcast clouds
245,Provideniya,RU,64.3833,-173.3,-0.17,65,7,17.34,clear sky
246,Bon Air,US,37.5249,-77.5578,66.56,88,100,3.0,moderate rain
247,Touros,BR,-5.1989,-35.4608,86.9,55,76,16.64,broken clouds
248,Ahipara,NZ,-35.1667,173.1667,71.29,87,95,14.43,overcast clouds
249,Surt,LY,31.2089,16.5887,59.34,62,0,6.51,clear sky
250,Namibe,AO,-15.1961,12.1522,78.75,57,88,14.12,overcast clouds
251,Aksu,CN,41.1231,80.2644,28.92,49,21,4.52,few clouds
252,Carnot,CF,4.9409,15.8665,95.54,11,100,5.21,overcast clouds
253,Gornyak,RU,50.9942,81.4661,-2.81,93,5,5.61,clear sky
254,Bilibino,RU,68.0546,166.4372,-9.69,77,0,4.7,clear sky
255,Ust-Omchug,RU,61.15,149.6333,-19.37,86,100,6.44,overcast clouds
256,Aklavik,CA,68.2191,-135.0107,-19.48,99,63,14.16,broken clouds
257,Hithadhoo,MV,-0.6,73.0833,82.35,73,38,11.59,scattered clouds
258,Callaway,US,30.153,-85.5699,66.25,98,100,4.0,overcast clouds
259,Shu,KZ,43.5983,73.7614,35.17,61,0,8.37,clear sky
260,Broken Hill,AU,-31.95,141.4333,67.71,34,100,8.05,overcast clouds
261,Keflavik,IS,64.0049,-22.5624,30.11,69,75,4.61,broken clouds
262,Skjervoy,NO,70.0311,20.9714,23.18,71,100,35.37,overcast clouds
263,Laguna De Perlas,NI,12.3429,-83.6712,73.49,73,12,8.37,few clouds
264,Eunice,US,30.4944,-92.4176,35.91,84,100,13.78,overcast clouds
265,Nakatsu,JP,33.5981,131.1883,44.49,66,56,11.25,broken clouds
266,Macamic,CA,48.7502,-78.9996,-32.57,97,94,3.78,overcast clouds
267,Havoysund,NO,70.9963,24.6622,17.83,77,100,25.9,overcast clouds
268,Roald,NO,62.5833,6.1333,39.25,93,100,23.02,overcast clouds
269,Pilar,BR,-9.5972,-35.9567,87.73,46,24,12.55,few clouds
270,Tautira,PF,-17.7333,-149.15,78.82,77,72,11.61,light rain
271,Souris,CA,49.6172,-100.2612,-25.74,100,25,4.59,scattered clouds
272,Narsaq,GL,60.9167,-46.05,14.22,59,100,27.04,overcast clouds
273,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,62,100,10.56,overcast clouds
274,Vila Velha,BR,-20.3297,-40.2925,84.15,75,20,8.99,few clouds
275,Krasnyy Chikoy,RU,50.3643,108.7512,-3.75,100,97,3.04,overcast clouds
276,Kamyshin,RU,50.0983,45.416,32.7,95,100,10.22,overcast clouds
277,Pamekasan,ID,-7.1568,113.4746,78.44,88,88,7.45,overcast clouds
278,Khatanga,RU,71.9667,102.5,-33.63,100,99,3.51,overcast clouds
279,Sembe,CG,1.6481,14.5806,96.31,25,99,3.49,overcast clouds
280,Port-Gentil,GA,-0.7193,8.7815,87.76,62,40,9.22,scattered clouds
281,Nguruka,TZ,-5.1092,31.0419,69.48,90,100,3.42,light rain
282,Cerrik,AL,41.0317,19.9758,56.75,37,10,1.81,clear sky
283,Tommot,RU,58.9564,126.2925,-3.26,98,100,5.66,overcast clouds
284,Tilichiki,RU,60.4667,166.1,2.66,82,100,7.87,overcast clouds
285,Maralal,KE,1.0968,36.698,74.44,34,100,11.07,overcast clouds
286,Zuhres,UA,48.0114,38.2644,30.94,93,100,7.52,overcast clouds
287,Porto Santo,PT,33.072,-16.3415,72.3,82,20,4.61,few clouds
288,Aras,ES,42.5617,-2.356,54.01,47,20,10.36,few clouds
289,Songjianghe,CN,42.1859,127.479,0.19,92,100,5.91,overcast clouds
290,Saint-Joseph,RE,-21.3667,55.6167,80.98,85,100,22.77,light rain
291,Meulaboh,ID,4.1363,96.1285,79.38,79,100,2.08,overcast clouds
292,Baruun-Urt,MN,46.6806,113.2792,-5.24,89,6,6.64,clear sky
293,Traiguen,CL,-38.25,-72.6833,61.88,80,100,5.39,overcast clouds
294,Alekseyevka,RU,50.6309,38.6903,25.77,89,100,10.4,overcast clouds
295,Saldanha,ZA,-33.0117,17.9442,66.61,62,0,26.28,clear sky
296,Vardo,NO,70.3705,31.1107,19.38,79,20,13.8,few clouds
297,Salalah,OM,17.0151,54.0924,78.89,65,0,8.05,clear sky
298,Elko,US,41.0002,-115.5012,15.64,89,4,5.99,clear sky
299,Tucurui,BR,-3.7661,-49.6725,85.42,67,87,2.13,overcast clouds
300,Cairns,AU,-16.9167,145.7667,78.06,97,100,10.36,light intensity shower rain
301,Faya,SA,18.3851,42.4509,71.71,58,15,11.54,few clouds
302,Port Lincoln,AU,-34.7333,135.8667,63.5,76,47,17.69,scattered clouds
303,Dzhebariki-Khaya,RU,62.2167,135.8,-36.11,100,51,0.78,broken clouds
304,Abu Dhabi,AE,24.4667,54.3667,77.11,57,0,8.05,clear sky
305,Khandyga,RU,62.6667,135.6,-38.0,100,46,2.42,scattered clouds
306,Mackay,AU,-21.15,149.2,80.58,74,40,26.46,scattered clouds
307,Watsa,CD,3.0372,29.5355,92.05,20,100,5.32,overcast clouds
308,Mount Pleasant,US,32.7941,-79.8626,70.11,94,100,1.01,mist
309,Mogadishu,SO,2.0371,45.3438,84.07,70,0,21.85,clear sky
310,Xichang,CN,27.8964,102.2634,43.36,80,8,3.04,clear sky
311,Namatanai,PG,-3.6667,152.4333,80.06,79,100,8.55,overcast clouds
312,Alyangula,AU,-13.8483,136.4192,82.27,89,100,0.0,overcast clouds
313,Traverse City,US,44.7631,-85.6206,8.35,85,20,0.0,few clouds
